"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","lsa.data.op"
"1",26734.1233374801,6068.14073822562,17098.3408012548,6582.15160688427,15215.2096338192,4427.31985406249,14937.5182424862,9124.75743479833,12368.7514219487,8475.50507595263,11604.5636362504,11518.5100088326,11795.751654742,10726.0460356972,11795.8137614378,1
"2",12145.9989366924,11331.6900154896,11586.185870625,11608.2119812414,11618.5132145554,11529.1233349468,11555.4317705638,11504.2386676662,11620.05350253,11532.9334086961,11467.9742637419,11541.2536288565,11574.6902520436,11552.8046996774,11267.690768261,2
"3",12355.1272733247,11439.8258673943,11530.0458843876,11628.7227849327,11348.648240892,11636.5071427752,11633.4891028696,11440.3243160215,11539.4026685992,11417.1679729187,11535.6723799744,11534.8321974125,11572.5073808793,11475.3051624149,11453.6399867688,2
"4",12990.9060102951,10983.9941392877,11423.5361941588,11762.8740106523,11757.4593303362,11598.3336274498,11552.2793285813,11492.4459920864,11817.2622260921,11628.910163246,11325.7900670967,11639.7271741211,11377.0774762229,11540.2708009954,10399.6907419851,2
"5",13015.6530344585,10673.0308760253,12534.9584431382,11235.297477862,11610.640289199,12008.2354161381,11119.4137394351,12104.7497876768,11512.2146308725,11819.4803747231,11784.6086922985,11678.9768379772,11492.1767677909,11580.3597976292,11689.0409113743,2
"6",13081.1852376982,10558.4667395699,12255.3647211258,10834.6803956483,11510.4647828722,12280.4199376141,11225.1563810612,12569.9392141495,11447.2516899619,11998.8653660774,12118.9125300423,11864.4264231339,11371.9212843701,11647.5347842916,11798.9334546254,2
"7",16298.7464853706,9401.86978888416,13232.8575040165,10291.5782833702,12591.5924499165,11220.4408544164,11337.1571757497,12138.5403101577,11289.5921394689,11438.2131713068,12060.9840649931,11741.3599947287,11856.2280684149,11459.9293450602,11533.0066736987,2
"8",21576.6424352243,7601.65208746053,6093.79705986063,8887.19866480306,8908.14225468704,11294.4187665264,16180.9086285698,12603.604157985,10386.5611259631,15805.5611734625,10811.7628403486,12223.806050368,11272.6148381248,11929.6397478708,11036.4155372757,3
"9",15190.7726508418,11120.9784093352,11355.9512216407,11690.1304888036,10380.6327553054,11226.5043612133,12602.6617648216,12244.7204235333,11363.9128745463,12051.3650573461,10943.4416546293,11062.8175401904,11467.7101346924,10449.3111886682,11682.7662300514,2
"10",14602.6316031331,10579.2157416354,10741.5768452149,12124.4193666441,11815.550523546,11947.8959756858,11520.8964535805,11133.2692705101,12266.2131895646,11728.4239272879,11362.9855905891,11551.8347568917,11362.9397256287,11316.3957913656,11211.2048438451,2
