Professor,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,Topic20,Topic21,Topic22,Topic23,Topic24,Topic25,Topic26,Topic27,Topic28,Topic29,Topic30
Ahn Gail Joon,0.9998447722,7.18406806845913E-05,0,0,0,0,5.5532057125623E-05,2.49355389621463E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baral Chitta,0,1.25784436695811E-05,0.9978186937,0.0003025742,0.0001100518,0.001717851,2.8681634672778E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candan K Selcuk,0.0016902182,0.0050730506,0.9762727868,0,0.0014799413,7.06164727693679E-05,0.015410282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colbourn Charles,0,0,0,0,0.9999836319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Collofello James,0.9083142753,0,0,0.0482761831,0.001930223,0.0031694076,0,0,0,0.0383049373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gupta Sandeep,0.8253034889,0.041170307,0.0273165733,0.0299467312,0.0148388111,0.0054784514,0.0033750119,0.0127919526,0.0377377004,0.0020408133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kambhampati Subbarao,0,0,0,0,0,0.9999814909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee YannHang,0.1249955787,0.8113372889,0.002036128,0.0003563626,0.0028482333,0.0010766274,0.0001248796,0.0077284311,0.0001020748,0.0493942689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Li Baoxin,1.00660735241792E-05,0,0,0,0,0,0,0,0.9999785446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lindquist Tim,1.21682638635524E-05,0,0,0,0,0,0,0,0,0.9999762757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liu Huan,1.08886060386865E-05,0,0,0,0,0,0,0.9999790523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sen Arunabha,0.8608377344,0.0083897959,0.1066039886,0,0.0091840458,0.0057784979,0.0091848167,0,1.90694613879496E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VanLehn Kurt,0,0,0,0.9999860256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bazzi Rida,0,0.9999950823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dasgupta Partha,2.09731034422992E-05,0.0141491342,0.9778151456,0,0.0075228322,0,0,0,0,0.0004878457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davulcu Hasan,0.0046036132,0,0.9890599226,3.59698409807554E-05,0,5.59628428025009E-05,0.0029839593,0.0001316793,0.0028904735,0.0002271975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gary Kevin,0.9284716336,1.2019641372732E-05,0.0003107619,0.0050855227,0.0004359483,0,0,0.0272397068,0.0145892904,0.0177880668,0.0060654015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bansal Srividya,0.9949822226,0,0,0.0042190614,0,0,0,0,0,0.0007843104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Amor Heni,0,0,0.9793809913,0.0013004304,0,0.0023660321,0,0.0049662788,0.011923185,5.22987072107789E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doupe Adam,0.9999325525,0,0,0,0,0,5.24512571889864E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sarwat Mohamed,0.9596560991,0.0003947937,0.008770347,0,0.0001762556,0.0025799809,0.0012909185,0.0009063354,0.0262239002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shakarian Paulo,0.00001117,0,0,0,0,0,0.9999789483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Whitehouse Richard,0.0003670514,0.0001192572,0.0001429774,6.10844033083122E-05,5.3677313859892E-05,3.18467301665483E-05,0.000021749,1.4308543717081E-05,0,0,0.9991713201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nakamura Mutsumi,1.83980763207491E-05,0.0005117343,0.0007983588,0,0.991106775,0.0068463896,0,0,0,0.0007133591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bansal Ajay,0.9970319761,0.0006427655,6.6796572514244E-05,0,0.0014144125,0,0,0,0,0.0008410283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
