Professor,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,Topic20,Topic21,Topic22,Topic23,Topic24,Topic25,Topic26,Topic27,Topic28,Topic29,Topic30
Ahn Gail Joon,0,0,0,0,0.0005012476,0,0,9.53511272752354E-05,0,0.9675820589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000013128,0.0318020538,0,0,0
Baral Chitta,0,0,0,0,0.0002868768,0,0,0.0002651342,0,0,0.0293642785,0,0.0001290493,0.00001055,6.93152806738836E-05,0,0,0,0,0,0,0,0,0.9698666754,0,0,0,0,0,0
Candan K Selcuk,0,0,0,0,0,0,0,0,0,0,0.0161827426,0,0.0017806622,0,0,2.26227656588815E-05,0,0,0.0111143037,0,0,0.9708788156,0,0,0,0,0,0,0,0
Colbourn Charles,0,0,0,0,0,0,0,5.34918147483499E-05,0,0,0,0,0,0,0,0.9969262257,0,0,0,0,0,0,0,0,0,0,0,0,0.0030070279,0
Collofello James,0,5.69002033911554E-05,0,0,0,0,0,0.971295703,0,0,0,0,0.0217054933,0.0018468479,1.64037664940065E-05,0,0,0,0,0.0050696121,0,0,0,0,0,0,0,0,0,0
Gupta Sandeep,0,0,0,0.9973856966,0,0,0,3.58733888716655E-05,0,0,0,0,0,0,0,0.0015285183,0,0,0,0,0,0.0010283384,0,0,0,0,0,0,0,0
Kambhampati Subbarao,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9968279899,0.0031566928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee YannHang,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9999824018,0
Li Baoxin,0,0,0,0,0,0,0,0,0,0,0.0230118152,0,0.9769706195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lindquist Tim,0,0,0,0,0,0,0,0.0007608867,0,0,0,0,0,0,0,0,0,0,0,8.32450610732678E-05,0.9989911725,0,0,0,0,0,4.975783229011E-05,9.89073074954284E-05,0,0
Liu Huan,0,0,0,0,0,0,0,1.11327664461101E-05,0,0,0.0014804984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9984930019,0,0
Sen Arunabha,0,0,0,1.92194579752647E-05,0,0,0,0.0406827141,0,0,0.9499181871,0,0,0,0,0.0021348648,0,0,0,0,9.0177803175606E-05,9.91811940483574E-05,0,0,0,0.0045919761,0.0002758479,6.2450381947302E-05,0.0021132065,0
VanLehn Kurt,0,0,0,0,0,0,0,0.000321489,0,0,0.0113046017,0,0,0,0.978937274,0,0,0,0,0,0,0,0,1.13973633878177E-05,0,0,0.0094222077,0,0,0
Bazzi Rida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97656749,0,0,0.0234267927,0
Dasgupta Partha,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004752919,0.1366921754,0.8626956848,0,0,8.29778006207975E-05,1.37115459675309E-05,0,0,0,0,0,0.000022754,0,0,0,0
Davulcu Hasan,0,0,0,0,0,0,0.0001077313,0,0,0,0.9977867604,0,3.88647417880173E-05,0,0,0,0,0,0.0006253185,8.85037443369898E-05,0,0.0010699722,0,0.0002746977,0,0,0,0,0,0
Gary Kevin,0,0,0,1.30404052794992E-05,0,0,0,8.12263062376932E-05,0,0,0.0001043528,0,0.000058283,0,0.0025605072,0,0,0,0.0033571947,0,0.9928849134,0,0,0,0,0,0,0.00092383,0,0
Bansal Srividya,0,0,0,0,0,0,0.0063653122,6.12952328538741E-05,0,0,0.0060120527,0,0,0,0,0,0,0,0,0.9875374285,0,0,0,0,0,0,0,0,0,0
Ben Amor Heni,0,0,0,0,0,0,0,0,0,0,0.9973413665,0,0.0010585489,0.0011573444,0.0001680735,0,0,0,0,0,0,0,0,0,0,0,0,0.0002631098,0,0
Doupe Adam,0,0,0,0,0,0,0,4.12726556692408E-05,0,0.0130319925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9869177568,0,0,0
Sarwat Mohamed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9663579986,0,0,0,0,0,0,0,0.033628352,0,0,0
Shakarian Paulo,0,0,0,0,0,0,0,5.83814464132617E-05,6.87941277411691E-05,0,0,0,0,1.271776219391E-05,3.18573211886251E-05,0,0,0,0,0,0.0043688176,0.9950258341,0,7.35844925593113E-05,0,0,0.0003384237,0,0,0
Whitehouse Richard,2.55427841634738E-05,2.55427841634739E-05,2.55427841634738E-05,2.55427841635075E-05,2.55427841634739E-05,2.55427841634738E-05,2.55427841635093E-05,0.00662963,2.55427841634738E-05,2.55427841635045E-05,0.3922946118,0.600386103,2.55427841635112E-05,2.55427841635039E-05,2.55427841635072E-05,2.55427841635091E-05,2.55427841634738E-05,2.55427841634738E-05,2.55427841635037E-05,2.55427841635396E-05,2.55427841635146E-05,2.55427841635041E-05,2.55427841634738E-05,2.55427841635075E-05,2.55427841634738E-05,2.5542784163506E-05,2.55427841635042E-05,2.55427841635111E-05,2.5542784163507E-05,2.55427841634738E-05
Nakamura Mutsumi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002183194,0,0,0,0.0091894299,0.0012451427,0,0,0.9540487385,0,0.0352698132,0,0,0,0
Bansal Ajay,0,0,0,0,0,0,0.9884370357,0,0,0,0.0027426331,0,0,0,0,0,0,0,0,0.0088057939,0,0,0,0,0,0,0,0,0,0
