Professor,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,Topic20,Topic21,Topic22,Topic23,Topic24,Topic25
Ahn Gail Joon,3306.5657043444,-139.9822373056,2414.9216958851,-1221.3184125306,985.9241567529,1138.3316541073,-75.5632451378,49.5672600888,-171.5266266246,87.175156291,-21.6693148907,330.9141636395,926.4860510319,-162.4079309518,143.4684281851,589.6690247455,80.3035803287,153.4536658977,-195.7852372038,51.306559793,24.8524284459,-24.3561906782,21.6598113609,-22.4630307762,-0.0112678091
Baral Chitta,2486.1134630178,-161.6569025933,913.3297107019,-94.8321885029,-800.6154057462,-647.7371094425,-1636.7711825118,-1266.4998227347,888.3754249586,-25.6975110477,-818.4353359111,-3.5978510215,-3.0875602443,127.0840161883,127.8912448457,94.2404208589,-70.4907108667,114.5181526085,-111.971496098,-38.960375646,-16.5403224985,156.3983045244,99.6031704291,-6.9933131996,0.0370012229
Candan K Selcuk,1187.6628912796,276.3626709703,389.8854276357,-174.8267771721,-403.8584427257,-124.2726580173,572.4510987495,-228.9769984153,-51.3672263187,-73.3577633973,134.5890314036,411.0563436178,-2.6339135338,507.3367528288,-688.3984889919,-173.654845913,-575.6564243043,785.2622777699,-230.8301333808,161.9471491307,-231.6280457958,-76.5954233744,-4.0904871595,37.3253116446,-0.1546720777
Colbourn Charles,1913.5003847484,191.613581904,546.9176083159,-23.2589338951,-632.2576758627,91.1011827225,550.3385363594,1304.4916749393,2051.8810664515,-457.924102216,80.2812049263,-149.5494372016,75.6576719871,79.75218322,18.3041446977,77.9914482782,123.0805054214,54.0016103312,-4.0695183807,12.6290049164,5.4974099452,6.7957445282,9.0554402627,-9.5019674547,-0.0644533534
Collofello James,2975.1348053532,-832.1085058584,1902.7384429932,3643.5953815339,560.6186073583,508.928469952,50.0056673735,-94.1295954151,-47.6415552147,-19.9611549673,-52.8203920494,-162.2705975199,35.0197104251,70.91764902,-116.1349335264,6.3884346741,29.4256796374,-56.6600845524,-186.7067987668,-80.0896072577,-35.0390272343,-64.2095767541,-24.1734675739,37.5549708095,0.0203647498
Gupta Sandeep,1324.9275156271,30.9498335829,433.198645385,2.820047905,-234.7619225393,20.6754074301,214.0991717319,-46.2313983542,-11.0794531036,47.5708034115,-21.4028875793,77.3397788794,-14.6289846181,67.6572359916,22.7038235587,-247.2573363697,-378.508463103,1.7502650947,-151.1592144599,136.9076187295,1000.1690539696,-60.8240057381,43.9369291157,-31.5205579155,-0.3060918055
Kambhampati Subbarao,1805.6001474986,-218.4780153493,820.9524544211,92.3910345714,-1123.387855782,-180.0209889899,-986.8977866064,-211.0140696991,-227.6145538958,-808.7618701062,1375.5694764467,137.5593471467,121.6849112711,-481.1129569051,-184.1499340511,-169.1999805217,190.7319774363,25.7709958364,-18.1401412731,31.9690089283,26.5685022669,47.4600607096,47.8772420657,3.3294992665,0.1168511188
Lee YannHang,1602.6402213106,265.8634177981,660.445559108,-180.8417759525,62.7814559817,83.1501611576,174.7425982001,100.4702568192,79.3659653931,-9.5695614597,-432.5868392015,1176.0569430813,-803.7567031496,-439.4338143537,-490.3243405317,110.6610146948,461.4741294394,-198.6585373481,-150.596317937,-15.2298024789,41.4572502474,-95.4674480953,12.334225373,-32.3873122318,-0.0651170017
Li Baoxin,1410.786688194,-375.4431581492,680.8728686772,-154.7205966424,-748.3406696137,56.8321533129,136.2471935709,45.5150304951,-112.2376092252,463.0593179558,-311.8220953192,-165.4217953518,321.9170212694,-103.7319529469,78.0179755312,-730.2953706364,401.3986651756,-157.4763621885,-166.7406394726,815.286762004,-161.2122024186,-223.197797724,53.5605669851,-16.4569513656,-0.0712500382
Lindquist Tim,1469.8875514324,-33.4673202787,885.5906377366,444.9239269522,371.9302601432,-231.3244561958,26.7125552078,202.8789945854,-15.746738656,-6.878968014,-231.3827620706,146.0576125381,-31.5465516979,-510.3726687481,-20.0505306747,21.7493709331,-350.0112163262,225.6883427769,1018.3518167522,311.6576908803,-5.8850454093,91.2064538467,291.9730883374,39.5564965253,-0.1131949853
