id,value
GailJoonAhn--AshishAmresh,N
GailJoonAhn--RonaldAskin,Y
GailJoonAhn--RobertAtkinson,N
GailJoonAhn--JanakaBalasooriya,N
GailJoonAhn--AjayBansal,N
GailJoonAhn--SrividyaBansal,N
GailJoonAhn--ChittaBaral,N
GailJoonAhn--RidaBazzi,Y
GailJoonAhn--HeniBenAmor,Y
GailJoonAhn--NadyaBliss,Y
GailJoonAhn--KSelcukCandan,N
GailJoonAhn--YinongChen,N
GailJoonAhn--CharlesColbourn,Y
GailJoonAhn--JamesCollofello,Y
GailJoonAhn--ParthaDasgupta,N
GailJoonAhn--HasanDavulcu,N
GailJoonAhn--AdamDoupe,Y
GailJoonAhn--GeorgiosFainekos,Y
GailJoonAhn--AshrafGaffar,Y
GailJoonAhn--KevinGary,Y
GailJoonAhn--EsmaGel,N
GailJoonAhn--JavierGonzalezSanchez,Y
GailJoonAhn--SandeepGupta,Y
GailJoonAhn--DianneHansford,Y
GailJoonAhn--JingruiHe,N
GailJoonAhn--DijiangHuang,N
GailJoonAhn--FengJu,Y
GailJoonAhn--SubbaraoKambhampati,N
GailJoonAhn--JoohyungLee,N
GailJoonAhn--YannHangLee,Y
GailJoonAhn--BaoxinLi,N
GailJoonAhn--TimLindquist,Y
GailJoonAhn--RossMaciejewski,Y
GailJoonAhn--RyanMeuth,Y
GailJoonAhn--PituMirchandani,N
GailJoonAhn--BrianNelson,N
GailJoonAhn--RongPan,Y
GailJoonAhn--SethuramanPanchanathan,N
GailJoonAhn--PaoloPapotti,Y
GailJoonAhn--GiuliaPedrielli,N
GailJoonAhn--FengboRen,Y
GailJoonAhn--AndreaWRicha,N
GailJoonAhn--GeorgeRunger,N
GailJoonAhn--HessamSarjoughian,Y
GailJoonAhn--MohamedSarwat,Y
GailJoonAhn--ArunabhaSen,N
GailJoonAhn--PauloShakarian,Y
GailJoonAhn--AviralShrivastava,N
GailJoonAhn--DanShunk,Y
GailJoonAhn--VioletSyrotiuk,N
GailJoonAhn--HanghangTong,N
GailJoonAhn--KurtVanLehn,Y
GailJoonAhn--JReneVillalobos,NA
GailJoonAhn--SarmaVrudhula,N
GailJoonAhn--ErinWalker,N
GailJoonAhn--CaroleJeanWu,Y
GailJoonAhn--TeresaWu,Y
GailJoonAhn--GuoliangXue,Y
GailJoonAhn--YezhouYang,N
GailJoonAhn--NongYe,N
GailJoonAhn--StephenSYau,Y
AshishAmresh--RonaldAskin,N
AshishAmresh--RobertAtkinson,N
AshishAmresh--JanakaBalasooriya,N
AshishAmresh--AjayBansal,N
AshishAmresh--SrividyaBansal,N
AshishAmresh--ChittaBaral,N
AshishAmresh--RidaBazzi,N
AshishAmresh--HeniBenAmor,N
AshishAmresh--NadyaBliss,N
AshishAmresh--KSelcukCandan,N
AshishAmresh--YinongChen,Y
AshishAmresh--CharlesColbourn,N
AshishAmresh--JamesCollofello,N
AshishAmresh--ParthaDasgupta,N
AshishAmresh--HasanDavulcu,Y
AshishAmresh--AdamDoupe,N
AshishAmresh--GeorgiosFainekos,Y
AshishAmresh--AshrafGaffar,N
AshishAmresh--KevinGary,Y
AshishAmresh--EsmaGel,N
AshishAmresh--JavierGonzalezSanchez,Y
AshishAmresh--SandeepGupta,N
AshishAmresh--DianneHansford,Y
AshishAmresh--JingruiHe,N
AshishAmresh--DijiangHuang,N
AshishAmresh--FengJu,Y
AshishAmresh--SubbaraoKambhampati,Y
AshishAmresh--JoohyungLee,Y
AshishAmresh--YannHangLee,N
AshishAmresh--BaoxinLi,Y
AshishAmresh--TimLindquist,N
AshishAmresh--RossMaciejewski,N
AshishAmresh--RyanMeuth,Y
AshishAmresh--PituMirchandani,Y
AshishAmresh--BrianNelson,N
AshishAmresh--RongPan,N
AshishAmresh--SethuramanPanchanathan,N
AshishAmresh--PaoloPapotti,Y
AshishAmresh--GiuliaPedrielli,N
AshishAmresh--FengboRen,N
AshishAmresh--AndreaWRicha,N
AshishAmresh--GeorgeRunger,Y
AshishAmresh--HessamSarjoughian,Y
AshishAmresh--MohamedSarwat,Y
AshishAmresh--ArunabhaSen,Y
AshishAmresh--PauloShakarian,N
AshishAmresh--AviralShrivastava,N
AshishAmresh--DanShunk,Y
AshishAmresh--VioletSyrotiuk,N
AshishAmresh--HanghangTong,Y
AshishAmresh--KurtVanLehn,N
AshishAmresh--JReneVillalobos,NA
AshishAmresh--SarmaVrudhula,N
AshishAmresh--ErinWalker,N
AshishAmresh--CaroleJeanWu,N
AshishAmresh--TeresaWu,N
AshishAmresh--GuoliangXue,N
AshishAmresh--YezhouYang,N
AshishAmresh--NongYe,N
AshishAmresh--StephenSYau,N
RonaldAskin--RobertAtkinson,N
RonaldAskin--JanakaBalasooriya,N
RonaldAskin--AjayBansal,N
RonaldAskin--SrividyaBansal,N
RonaldAskin--ChittaBaral,N
RonaldAskin--RidaBazzi,N
RonaldAskin--HeniBenAmor,N
RonaldAskin--NadyaBliss,N
RonaldAskin--KSelcukCandan,N
RonaldAskin--YinongChen,N
RonaldAskin--CharlesColbourn,Y
RonaldAskin--JamesCollofello,Y
RonaldAskin--ParthaDasgupta,N
RonaldAskin--HasanDavulcu,Y
RonaldAskin--AdamDoupe,Y
RonaldAskin--GeorgiosFainekos,Y
RonaldAskin--AshrafGaffar,Y
RonaldAskin--KevinGary,Y
RonaldAskin--EsmaGel,Y
RonaldAskin--JavierGonzalezSanchez,Y
RonaldAskin--SandeepGupta,N
RonaldAskin--DianneHansford,Y
RonaldAskin--JingruiHe,Y
RonaldAskin--DijiangHuang,Y
RonaldAskin--FengJu,N
RonaldAskin--SubbaraoKambhampati,Y
RonaldAskin--JoohyungLee,N
RonaldAskin--YannHangLee,Y
RonaldAskin--BaoxinLi,Y
RonaldAskin--TimLindquist,Y
RonaldAskin--RossMaciejewski,N
RonaldAskin--RyanMeuth,N
RonaldAskin--PituMirchandani,Y
RonaldAskin--BrianNelson,N
RonaldAskin--RongPan,Y
RonaldAskin--SethuramanPanchanathan,Y
RonaldAskin--PaoloPapotti,N
RonaldAskin--GiuliaPedrielli,N
RonaldAskin--FengboRen,Y
RonaldAskin--AndreaWRicha,N
RonaldAskin--GeorgeRunger,Y
RonaldAskin--HessamSarjoughian,N
RonaldAskin--MohamedSarwat,Y
RonaldAskin--ArunabhaSen,N
RonaldAskin--PauloShakarian,Y
RonaldAskin--AviralShrivastava,Y
RonaldAskin--DanShunk,N
RonaldAskin--VioletSyrotiuk,Y
RonaldAskin--HanghangTong,N
RonaldAskin--KurtVanLehn,Y
RonaldAskin--JReneVillalobos,NA
RonaldAskin--SarmaVrudhula,Y
RonaldAskin--ErinWalker,N
RonaldAskin--CaroleJeanWu,N
RonaldAskin--TeresaWu,Y
RonaldAskin--GuoliangXue,N
RonaldAskin--YezhouYang,N
RonaldAskin--NongYe,N
RonaldAskin--StephenSYau,N
RobertAtkinson--JanakaBalasooriya,N
RobertAtkinson--AjayBansal,N
RobertAtkinson--SrividyaBansal,N
RobertAtkinson--ChittaBaral,N
RobertAtkinson--RidaBazzi,N
RobertAtkinson--HeniBenAmor,Y
RobertAtkinson--NadyaBliss,Y
RobertAtkinson--KSelcukCandan,N
RobertAtkinson--YinongChen,N
RobertAtkinson--CharlesColbourn,Y
RobertAtkinson--JamesCollofello,N
RobertAtkinson--ParthaDasgupta,N
RobertAtkinson--HasanDavulcu,N
