id,Ram,Dhananjay,Guru,Ashutosh
GailJoonAhn--AshishAmresh,N,N,N,Y
GailJoonAhn--RonaldAskin,N,Y,N,N
GailJoonAhn--RobertAtkinson,N,N,N,N
GailJoonAhn--JanakaBalasooriya,N,N,N,N
GailJoonAhn--AjayBansal,N,N,N,N
GailJoonAhn--SrividyaBansal,N,N,N,N
GailJoonAhn--ChittaBaral,N,N,N,N
GailJoonAhn--RidaBazzi,Y,Y,Y,Y
GailJoonAhn--HeniBenAmor,N,Y,N,N
GailJoonAhn--NadyaBliss,N,Y,Y,N
GailJoonAhn--KSelcukCandan,N,N,N,N
GailJoonAhn--YinongChen,N,N,N,N
GailJoonAhn--CharlesColbourn,N,Y,N,N
GailJoonAhn--JamesCollofello,N,Y,N,N
GailJoonAhn--ParthaDasgupta,Y,N,Y,N
GailJoonAhn--HasanDavulcu,N,N,N,N
GailJoonAhn--AdamDoupe,Y,Y,Y,Y
GailJoonAhn--GeorgiosFainekos,N,Y,N,N
GailJoonAhn--AshrafGaffar,N,Y,N,N
GailJoonAhn--KevinGary,N,Y,N,N
GailJoonAhn--EsmaGel,N,N,N,N
GailJoonAhn--JavierGonzalezSanchez,N,Y,N,N
GailJoonAhn--SandeepGupta,N,Y,N,N
GailJoonAhn--DianneHansford,N,Y,N,N
GailJoonAhn--JingruiHe,N,N,N,N
GailJoonAhn--DijiangHuang,Y,N,Y,N
GailJoonAhn--SubbaraoKambhampati,N,N,N,N
GailJoonAhn--JoohyungLee,N,N,N,N
GailJoonAhn--YannHangLee,N,Y,N,N
GailJoonAhn--BaoxinLi,N,N,N,N
GailJoonAhn--TimLindquist,N,Y,N,N
GailJoonAhn--RossMaciejewski,N,Y,N,N
GailJoonAhn--RyanMeuth,N,Y,N,N
GailJoonAhn--PituMirchandani,N,N,N,N
GailJoonAhn--BrianNelson,N,N,N,N
GailJoonAhn--RongPan,N,Y,N,N
GailJoonAhn--SethuramanPanchanathan,N,N,N,N
GailJoonAhn--PaoloPapotti,N,Y,N,N
GailJoonAhn--GiuliaPedrielli,N,N,N,N
GailJoonAhn--FengboRen,N,Y,N,N
GailJoonAhn--AndreaWRicha,N,N,N,N
GailJoonAhn--GeorgeRunger,N,N,N,N
GailJoonAhn--HessamSarjoughian,N,Y,N,N
GailJoonAhn--MohamedSarwat,N,Y,N,N
