id,Prof,Ram,Dhananjay,Guru,Ashutosh,Gold
GailJoonAhn--AshishAmresh,N,N,N,N,Y,N
GailJoonAhn--RonaldAskin,N,N,Y,N,N,N
GailJoonAhn--RobertAtkinson,N,N,N,N,N,N
GailJoonAhn--JanakaBalasooriya,N,N,N,N,N,N
GailJoonAhn--AjayBansal,N,N,N,N,N,N
GailJoonAhn--SrividyaBansal,N,N,N,N,N,N
GailJoonAhn--ChittaBaral,N,N,N,N,N,N
GailJoonAhn--RidaBazzi,N,Y,Y,Y,Y,Y
GailJoonAhn--HeniBenAmor,N,N,Y,N,N,N
GailJoonAhn--NadyaBliss,N,N,Y,Y,N,N
GailJoonAhn--KSelcukCandan,N,N,N,N,N,N
GailJoonAhn--YinongChen,N,N,N,N,N,N
GailJoonAhn--CharlesColbourn,N,N,Y,N,N,N
GailJoonAhn--JamesCollofello,N,N,Y,N,N,N
GailJoonAhn--ParthaDasgupta,Y,Y,N,Y,N,Y
GailJoonAhn--HasanDavulcu,N,N,N,N,N,N
GailJoonAhn--AdamDoupe,Y,Y,Y,Y,Y,Y
GailJoonAhn--GeorgiosFainekos,N,N,Y,N,N,N
GailJoonAhn--AshrafGaffar,N,N,Y,N,N,N
GailJoonAhn--KevinGary,N,N,Y,N,N,N
GailJoonAhn--EsmaGel,N,N,N,N,N,N
GailJoonAhn--JavierGonzalezSanchez,N,N,Y,N,N,N
GailJoonAhn--SandeepGupta,N,N,Y,N,N,N
GailJoonAhn--DianneHansford,N,N,Y,N,N,N
GailJoonAhn--JingruiHe,N,N,N,N,N,N
GailJoonAhn--DijiangHuang,N,Y,N,Y,N,N
GailJoonAhn--SubbaraoKambhampati,N,N,N,N,N,N
GailJoonAhn--JoohyungLee,N,N,N,N,N,N
GailJoonAhn--YannHangLee,N,N,Y,N,N,N
GailJoonAhn--BaoxinLi,N,N,N,N,N,N
GailJoonAhn--TimLindquist,N,N,Y,N,N,N
GailJoonAhn--RossMaciejewski,N,N,Y,N,N,N
GailJoonAhn--RyanMeuth,N,N,Y,N,N,N
GailJoonAhn--PituMirchandani,N,N,N,N,N,N
GailJoonAhn--BrianNelson,N,N,N,N,N,N
GailJoonAhn--RongPan,N,N,Y,N,N,N
GailJoonAhn--SethuramanPanchanathan,N,N,N,N,N,N
GailJoonAhn--PaoloPapotti,N,N,Y,N,N,N
GailJoonAhn--GiuliaPedrielli,N,N,N,N,N,N
GailJoonAhn--FengboRen,N,N,Y,N,N,N
GailJoonAhn--AndreaWRicha,N,N,N,N,N,N
GailJoonAhn--GeorgeRunger,N,N,N,N,N,N
GailJoonAhn--HessamSarjoughian,N,N,Y,N,N,N
GailJoonAhn--MohamedSarwat,N,N,Y,N,N,N
GailJoonAhn--ArunabhaSen,N,N,N,N,N,N
GailJoonAhn--PauloShakarian,N,Y,Y,Y,N,Y
GailJoonAhn--AviralShrivastava,N,N,N,N,N,N
GailJoonAhn--DanShunk,N,N,Y,N,N,N
GailJoonAhn--VioletSyrotiuk,N,N,N,N,N,N
GailJoonAhn--HanghangTong,N,N,N,N,N,N
GailJoonAhn--KurtVanLehn,N,N,Y,N,N,N
GailJoonAhn--JReneVillalobos,N,N,N,N,N,N
GailJoonAhn--SarmaVrudhula,N,N,N,N,N,N
GailJoonAhn--ErinWalker,N,N,N,N,N,N
GailJoonAhn--CaroleJeanWu,N,N,Y,N,N,N
GailJoonAhn--TeresaWu,N,N,Y,N,N,N
GailJoonAhn--GuoliangXue,N,Y,Y,Y,N,Y
GailJoonAhn--YezhouYang,N,N,N,N,N,N
GailJoonAhn--StephenSYau,Y,Y,Y,Y,Y,Y
AshishAmresh--RonaldAskin,N,N,N,N,N,N
AshishAmresh--RobertAtkinson,N,N,N,Y,N,N
AshishAmresh--JanakaBalasooriya,N,N,N,N,N,N
AshishAmresh--AjayBansal,N,N,N,N,N,N
AshishAmresh--SrividyaBansal,Y,N,N,N,N,N
AshishAmresh--ChittaBaral,N,N,N,N,N,N
AshishAmresh--RidaBazzi,N,N,N,N,N,N
AshishAmresh--HeniBenAmor,N,N,N,N,N,N
AshishAmresh--NadyaBliss,N,N,N,N,N,N
AshishAmresh--KSelcukCandan,N,N,N,N,N,N
AshishAmresh--YinongChen,N,N,Y,N,N,N
AshishAmresh--CharlesColbourn,N,N,N,N,N,N
AshishAmresh--JamesCollofello,N,N,N,N,N,N
AshishAmresh--ParthaDasgupta,N,N,N,N,N,N
AshishAmresh--HasanDavulcu,N,N,Y,N,N,N
AshishAmresh--AdamDoupe,N,N,N,N,N,N
AshishAmresh--GeorgiosFainekos,N,N,Y,N,N,N
AshishAmresh--AshrafGaffar,N,N,N,Y,N,N
AshishAmresh--KevinGary,Y,N,Y,N,N,N
AshishAmresh--EsmaGel,N,N,N,N,N,N
AshishAmresh--JavierGonzalezSanchez,Y,N,Y,Y,N,Y
AshishAmresh--SandeepGupta,N,N,N,N,N,N
AshishAmresh--DianneHansford,N,N,Y,N,N,N
AshishAmresh--JingruiHe,N,N,N,N,N,N
AshishAmresh--DijiangHuang,N,N,N,N,N,N
AshishAmresh--SubbaraoKambhampati,N,N,Y,N,N,N
AshishAmresh--JoohyungLee,N,N,Y,N,N,N
AshishAmresh--YannHangLee,N,N,N,N,N,N
AshishAmresh--BaoxinLi,N,N,Y,N,N,N
AshishAmresh--TimLindquist,N,N,N,N,N,N
AshishAmresh--RossMaciejewski,N,N,N,Y,N,N
AshishAmresh--RyanMeuth,N,N,Y,Y,N,N
AshishAmresh--PituMirchandani,N,N,Y,N,N,N
AshishAmresh--BrianNelson,Y,Y,N,Y,N,Y
AshishAmresh--RongPan,N,N,N,N,N,N
AshishAmresh--SethuramanPanchanathan,N,N,N,Y,N,N
AshishAmresh--PaoloPapotti,N,N,Y,N,N,N
AshishAmresh--GiuliaPedrielli,N,N,N,N,N,N
AshishAmresh--FengboRen,N,N,N,N,N,N
AshishAmresh--AndreaWRicha,N,N,N,N,N,N
AshishAmresh--GeorgeRunger,N,N,Y,N,N,N
AshishAmresh--HessamSarjoughian,N,N,Y,N,N,N
AshishAmresh--MohamedSarwat,N,N,Y,N,N,N
AshishAmresh--ArunabhaSen,N,N,Y,N,N,N
AshishAmresh--PauloShakarian,N,N,N,N,N,N
AshishAmresh--AviralShrivastava,N,N,N,N,N,N
AshishAmresh--DanShunk,N,N,Y,N,N,N
AshishAmresh--VioletSyrotiuk,N,N,N,N,N,N
AshishAmresh--HanghangTong,N,N,Y,N,N,N
AshishAmresh--KurtVanLehn,Y,N,N,N,N,N
AshishAmresh--JReneVillalobos,N,N,N,N,N,N
AshishAmresh--SarmaVrudhula,N,N,N,N,N,N
AshishAmresh--ErinWalker,Y,N,N,Y,N,N
AshishAmresh--CaroleJeanWu,N,N,N,N,N,N
AshishAmresh--TeresaWu,N,N,N,N,N,N
AshishAmresh--GuoliangXue,N,N,N,N,N,N
AshishAmresh--YezhouYang,N,N,N,N,N,N
AshishAmresh--StephenSYau,N,N,N,N,N,N
RonaldAskin--RobertAtkinson,N,N,N,N,N,N
RonaldAskin--JanakaBalasooriya,N,N,N,N,N,N
RonaldAskin--AjayBansal,N,N,N,N,N,N
RonaldAskin--SrividyaBansal,N,N,N,N,N,N
RonaldAskin--ChittaBaral,N,N,N,N,N,N
RonaldAskin--RidaBazzi,N,N,N,N,N,N
RonaldAskin--HeniBenAmor,N,N,N,N,N,N
RonaldAskin--NadyaBliss,N,N,N,N,N,N
RonaldAskin--KSelcukCandan,N,N,N,N,N,N
RonaldAskin--YinongChen,N,N,N,N,N,N
RonaldAskin--CharlesColbourn,N,N,Y,N,N,N
RonaldAskin--JamesCollofello,N,N,Y,N,N,N
RonaldAskin--ParthaDasgupta,N,N,N,N,N,N
RonaldAskin--HasanDavulcu,N,N,Y,N,N,N
RonaldAskin--AdamDoupe,N,N,Y,N,N,N
RonaldAskin--GeorgiosFainekos,N,N,Y,N,N,N
RonaldAskin--AshrafGaffar,N,N,Y,N,N,N
RonaldAskin--KevinGary,N,N,Y,N,N,N
RonaldAskin--EsmaGel,Y,N,Y,Y,N,Y
RonaldAskin--JavierGonzalezSanchez,N,N,Y,N,N,N
RonaldAskin--SandeepGupta,N,N,N,N,N,N
RonaldAskin--DianneHansford,N,N,Y,N,N,N
RonaldAskin--JingruiHe,N,N,Y,N,N,N
RonaldAskin--DijiangHuang,N,N,Y,N,N,N
RonaldAskin--SubbaraoKambhampati,N,N,Y,N,N,N
RonaldAskin--JoohyungLee,N,N,N,N,N,N
RonaldAskin--YannHangLee,N,N,Y,N,N,N
RonaldAskin--BaoxinLi,N,N,Y,N,N,N
