http://dx.doi.org/10.1109/ISADS.2011.90 || An Approach for Service Composition and Testing for Cloud Computing. || ['Wei-Tek Tsai', 'Peide Zhong', 'Janaka Balasooriya', 'Yinong Chen', 'Xiaoying Bai', 'Jay Elston']
http://dx.doi.org/10.1109/SOCA.2011.6166247 || Services utility prediction on a cloud. || ['Wei-Tek Tsai', 'Peide Zhong', 'Janaka Balasooriya', 'Yinong Chen', 'Xiaoying Bai']
http://dx.doi.org/10.1016/j.jnca.2010.03.007 || A methodology for engineering collaborative and ad-hoc mobile applications using SyD middleware. || ['Praveen Madiraju', 'Srilaxmi Malladi', 'Janaka Balasooriya', 'Arthi Hariharan', 'Sushil K. Prasad', 'Anu G. Bourgeois']
http://dx.doi.org/10.1109/CLOUD.2010.80 || Cloud Computing Infrastructure for Biological Echo-Systems. || ['Janaka Balasooriya']
http://dx.doi.org/10.1109/ITNG.2010.214 || Service-Oriented Cloud Computing Architecture. || ['Wei-Tek Tsai', 'Xin Sun 0003', 'Janaka Balasooriya']
http://dx.doi.org/10.1109/SCC.2009.78 || Ontology-based Information Sharing in Service-Oriented Database Systems. || ['Tszyan Chow', 'Wei-Tek Tsai', 'Janaka Balasooriya', 'Xiaoying Bai']
http://dx.doi.org/10.1109/SCC.2008.127 || A Middleware Architecture for Enhancing Web Services Infrastructure for Distributed Coordination of Workflows. || ['Janaka Balasooriya', 'Sushil K. Prasad', 'Shamkant B. Navathe']
http://dx.doi.org/10.1007/978-3-540-77444-0_4 || Distributed Coordination of Workflows over Web Services and Their Handheld-Based Execution. || ['Janaka Balasooriya', 'Jaimini Joshi', 'Sushil K. Prasad', 'Shamkant B. Navathe']
http://dx.doi.org/10.1109/SERVICES.2007.29 || Development of NeuronBank: A Federation of Customizable Knowledge Bases of Neuronal Circuitry. || ['Robert J. Calin-Jageman', 'Akshaye Dhawan', 'Hong Yang', 'Hsiu-Chung Wang', 'Hao Tian', 'Piyaphol Phoungphol', 'Chad Frederick', 'Janaka Balasooriya', 'Yan Chen', 'Sushil K. Prasad', 'Rajshekhar Sunderraman', 'Ying Zhu', 'Paul S. Katz']
http://doi.ieeecomputersociety.org/10.1109/ICWS.2007.202 || Web Service Orchestration for Bioinformatics Systems: Challenges and Current Workflow Definition Approaches. || ['Graciela Gonzalez', 'Janaka Balasooriya']
http://dx.doi.org/10.1109/ICWS.2006.18 || A Two-Layered Software Architecture for Distributed Workflow Coordination over Web Services. || ['Janaka Balasooriya', 'Jaimini Joshi', 'Sushil K. Prasad', 'Shamkant B. Navathe']
http://dx.doi.org/10.1109/HICSS.2005.283 || Fundamental Capabilities of Web Coordination Bonds: Modeling Petri Nets and Expressing Workflow and Communication Patterns over Web Services. || ['Sushil K. Prasad', 'Janaka Balasooriya']
http://dx.doi.org/10.1109/ICWS.2005.7 || A Methodology for Engineering Collaborative Applications over Mobile Web Objects using SyD Middleware. || ['Sushil K. Prasad', 'Anu G. Bourgeois', 'Praveen Madiraju', 'Srilaxmi Malladi', 'Janaka Balasooriya']
http://dx.doi.org/10.1109/ICWS.2005.120 || Toward Fundamental Primitives and Infrastructure Enhancements for Distributed Web Object Coordination and Workflows. || ['Janaka Balasooriya', 'Sushil K. Prasad']
http://dx.doi.org/10.1109/IPDPS.2005.129 || BondFlow: A System for Distributed Coordination of Workflows over Web Services. || ['Janaka Balasooriya', 'Mohini Padhye', 'Sushil K. Prasad', 'Shamkant B. Navathe']
http://dx.doi.org/10.1109/HICSS.2004.1265456 || Web Coordination Bonds: A Simple Enhancement to Web Services Infrastructure for Effective Collaboration. || ['Sushil K. Prasad', 'Janaka Balasooriya']
http://dx.doi.org/10.1007/978-3-540-30229-2_19 || SyD: A Middleware Testbed for Collaborative Applications over Small Heterogeneous Devices and Data Stores. || ['Sushil K. Prasad', 'Vijay K. Madisetti', 'Shamkant B. Navathe', 'Raj Sunderraman', 'Erdogan Dogdu', 'Anu G. Bourgeois', 'Michael Weeks', 'Bing Liu 0003', 'Janaka Balasooriya', 'Arthi Hariharan', 'Wanxia Xie', 'Praveen Madiraju', 'Srilaxmi Malladi', 'Raghupathy Sivakumar', 'Alexander Zelikovsky', 'Yanqing Zhang', 'Yi Pan', 'Saeid Belkasim']
