http://dx.doi.org/10.1016/j.aml.2010.08.002 || New spectral PRP conjugate gradient method for unconstrained optimization. || ['Zhong Wan', 'ZhanLu Yang', 'YaLin Wang']
http://dx.doi.org/10.1016/j.media.2016.09.001 || Conformal invariants for multiply connected surfaces: Application to landmark curve-based brain morphometry analysis. || ['Jie Shi', 'Wen Zhang', 'Miao Tang', 'Richard J. Caselli', 'Yalin Wang']
http://dx.doi.org/10.1016/j.neuroimage.2016.12.014 || Towards a Holistic Cortical Thickness Descriptor: Heat Kernel-Based Grey Matter Morphology Signatures. || ['Gang Wang', 'Yalin Wang']
http://dx.doi.org/10.1109/TPAMI.2016.2567398 || Hyperbolic Harmonic Mapping for Surface Registration. || ['Rui Shi', 'Wei Zeng', 'Zhengyu Su', 'Jian Jiang', 'Hanna Damasio', 'Zhonglin Lu', 'Yalin Wang', 'Shing-Tung Yau', 'Xianfeng Gu']
http://dx.doi.org/10.1109/TII.2016.2610839 || Semisupervised JITL Framework for Nonlinear Industrial Soft Sensing Based on Locally Semisupervised Weighted PCR. || ['Xiaofeng Yuan', 'Zhiqiang Ge', 'Biao Huang', 'Zhihuan Song', 'Yalin Wang']
http://dx.doi.org/10.1109/TIM.2017.2658158 || Soft Sensor Modeling of Nonlinear Industrial Processes Based on Weighted Probabilistic Projection Regression. || ['Xiaofeng Yuan', 'Zhiqiang Ge', 'Zhihuan Song', 'Yalin Wang', 'Chunhua Yang', 'Hongwei Zhang']
http://arxiv.org/abs/1704.08383 || Large-scale Feature Selection of Risk Genetic Factors for Alzheimer's Disease via Distributed Group Lasso Regression. || ['Qingyang Li', 'Dajiang Zhu', 'Jie Zhang 0026', 'Derrek Paul Hibar', 'Neda Jahanshad', 'Yalin Wang', 'Jieping Ye', 'Paul M. Thompson', 'Jie Wang']
http://dx.doi.org/10.1007/s11517-015-1333-4 || Closed-loop controller for chest compressions based on coronary perfusion pressure: a computer simulation study. || ['Chunfei Wang', 'Guang Zhang', 'Tai-Hu Wu', 'Ningbo Zhan', 'Yalin Wang']
http://dx.doi.org/10.1007/s11042-015-2716-0 || Camera self-calibration based on circular points with two planar mirrors using silhouettes. || ['Yue Zhao', 'Xiaofen Zhang', 'Yalin Wang', 'Limin Xu']
http://dx.doi.org/10.3390/rs8020121 || The Greenness of Major Shrublands in China Increased from 2001 to 2013. || ['Yalin Wang', 'Qiong Gao', 'Ting Liu', 'Yuqiang Tian', 'Mei Yu']
http://dx.doi.org/10.1007/s11277-015-2979-9 || Performance of a MIMO Y-Shaped Antenna Array with Electromagnetic Vector Sensors. || ['Jie Zhou', 'Yalin Wang', 'Hisakazu Kikuchi']
http://dx.doi.org/10.1007/s11277-016-3285-x || Performance of a Three-Dimensional Antenna Array and Its Application in DOA Estimation. || ['Yalin Wang', 'Jie Zhou', 'Hisakazu Kikuchi']
http://dx.doi.org/10.1109/CVPR.2016.546 || Shape Analysis with Hyperbolic Wasserstein Distance. || ['Jie Shi', 'Wen Zhang', 'Yalin Wang']
http://dx.doi.org/10.1109/ISBI.2016.7493200 || Morphometric analysis of hippocampus and lateral ventricle reveals regional difference between cognitively stable and declining persons. || ['Wen Zhang', 'Jie Shi', 'Cynthia M. Stonnington', 'Robert J. Bauer', 'Boris A. Gutman', 'Kewei Chen', 'Paul M. Thompson', 'Eric M. Reiman', 'Richard J. Caselli', 'Yalin Wang']
http://dx.doi.org/10.1109/ISBI.2016.7493350 || Applying sparse coding to surface multivariate tensor-based morphometry to predict future cognitive decline. || ['Jie Zhang 0026', 'Cynthia M. Stonnington', 'Qingyang Li', 'Jie Shi', 'Robert J. Bauer', 'Boris A. Gutman', 'Kewei Chen', 'Eric M. Reiman', 'Paul M. Thompson', 'Jieping Ye', 'Yalin Wang']
http://dx.doi.org/10.1007/978-3-319-46720-7_38 || Hyperbolic Space Sparse Coding with Its Application on Prediction of Alzheimer's Disease in Mild Cognitive Impairment. || ['Jie Zhang 0026', 'Jie Shi', 'Cynthia M. Stonnington', 'Qingyang Li', 'Boris A. Gutman', 'Kewei Chen', 'Eric M. Reiman', 'Richard J. Caselli', 'Paul M. Thompson', 'Jieping Ye', 'Yalin Wang']
http://dx.doi.org/10.1007/978-3-319-46720-7_39 || Large-Scale Collaborative Imaging Genetics Studies of Risk Genetic Factors for Alzheimer's Disease Across Multiple Institutions. || ['Qingyang Li', 'Tao Yang', 'Liang Zhan', 'Derrek P. Hibar', 'Neda Jahanshad', 'Yalin Wang', 'Jieping Ye', 'Paul M. Thompson', 'Jie Wang']
http://arxiv.org/abs/1608.07251 || Large-scale Collaborative Imaging Genetics Studies of Risk Genetic Factors for Alzheimer's Disease Across Multiple Institutions. || ['Qingyang Li', 'Tao Yang', 'Liang Zhan', 'Derrek P. Hibar', 'Neda Jahanshad', 'Yalin Wang', 'Jieping Ye', 'Paul M. Thompson', 'Jie Wang']
http://dx.doi.org/10.1007/s11517-015-1258-y || A mechanical chest compressor closed-loop controller with an effective trade-off between blood flow improvement and ribs fracture reduction. || ['Guang Zhang', 'Tai-Hu Wu', 'Zhenxing Song', 'Haitao Wang', 'Hengzhi Lu', 'Yalin Wang', 'Dan Wang', 'Feng Chen']
http://dx.doi.org/10.1016/j.media.2015.01.005 || A novel cortical thickness estimation method based on volumetric Laplace-Beltrami operator and heat kernel. || ['Gang Wang', 'Xiaofeng Zhang', 'Qingtang Su', 'Jie Shi', 'Richard J. Caselli', 'Yalin Wang']
http://dx.doi.org/10.1016/j.neuroimage.2014.09.062 || Studying ventricular abnormalities in mild cognitive impairment with hyperbolic Ricci flow and tensor-based morphometry. || ['Jie Shi', 'Cynthia M. Stonnington', 'Paul M. Thompson', 'Kewei Chen', 'Boris Gutman', 'Cole Reschke', 'Leslie C. Baxter', 'Eric M. Reiman', 'Richard J. Caselli', 'Yalin Wang']
http://dx.doi.org/10.1007/s12021-014-9259-9 || Impact of Early and Late Visual Deprivation on the Structure of the Corpus Callosum: A Study Combining Thickness Profile with Surface Tensor-Based Morphometry. || ['Jie Shi', 'Olivier Collignon', 'Liang Xu', 'Gang Wang', 'Yue Kang', 'Franco Leporé', 'Yi Lao', 'Anand A. Joshi', 'Natasha Leporé', 'Yalin Wang']
http://dx.doi.org/10.1109/TPAMI.2015.2408346 || Optimal Mass Transport for Shape Matching and Comparison. || ['Zhengyu Su', 'Yalin Wang', 'Rui Shi', 'Wei Zeng', 'Jian Sun', 'Feng Luo 0002', 'Xianfeng Gu']
http://dx.doi.org/10.1109/EMBC.2015.7318322 || Characterization of the central sulcus in the brain in early childhood. || ['Niharika Gajawelli', 'Sean C. L. Deoni', 'Holly Dirks', 'Douglas C. Dean III', "Jonathan O'Muircheartaigh", 'Siddhant Sawardekar', 'Andrea Ezis', 'Yalin Wang', 'Marvin D. Nelson', 'Olivier Coulon', 'Natasha Lepore']
http://dx.doi.org/10.1007/978-3-319-19992-4_32 || Shape Classification Using Wasserstein Distance for Brain Morphometry Analysis. || ['Zhengyu Su', 'Wei Zeng', 'Yalin Wang', 'Zhonglin Lu', 'Xianfeng Gu']
http://dx.doi.org/10.1109/ISBI.2015.7164033 || Mapping abnormal subcortical brain morphometry in an elderly HIV+ cohort. || ['Benjamin S. C. Wade', 'Victor G. Valcour', 'Lauren Wendelken-Riegelhaupt', 'Pardis Esmaeili-Firidouni', 'Shantanu H. Joshi', 'Yalin Wang', 'Paul M. Thompson']
http://dx.doi.org/10.1109/ISBI.2015.7164036 || Detecting genetic risk factors for Alzheimer's disease in whole genome sequence data via Lasso screening. || ['Tao Yang', 'Jie Wang', 'Qian Sun', 'Derrek P. Hibar', 'Neda Jahanshad', 'Li Liu', 'Yalin Wang', 'Liang Zhan', 'Paul M. Thompson', 'Jieping Ye']
http://dx.doi.org/10.1109/ISBI.2015.7164138 || Medial demons registration localizes the degree of genetic influence over subcortical shape variability: An N= 1480 meta-analysis. || ['Boris A. Gutman', 'Neda Jahanshad', 'Christopher R. K. Ching', 'Yalin Wang', 'Peter V. Kochunov', 'Thomas E. Nichols', 'Paul M. Thompson']
http://dx.doi.org/10.1007/978-3-319-24574-4_90 || Multi-scale Heat Kernel Based Volumetric Morphology Signature. || ['Gang Wang', 'Yalin Wang']
http://dx.doi.org/10.1016/j.neuroimage.2013.10.005 || Analysis of sampling techniques for imbalanced data: An n = 648 ADNI study. || ['Rashmi Dubey', 'Jiayu Zhou', 'Yalin Wang', 'Paul M. Thompson', 'Jieping Ye']
